Mic 10 frequency correction (w/o free field correction)
Frequency	Final correction
61	3.40
65	3.10
69	2.90
73	2.60
77	2.30
82	2.10
87	1.80
92	1.40
97	1.20
103	1.10
109	0.90
115	0.60
122	0.50
130	0.40
137	0.30
145	0.20
154	0.20
163	0.10
173	0.00
183	-0.20
194	-0.20
205	-0.20
218	-0.30
230	-0.30
244	-0.50
259	-0.40
274	-0.50
290	-0.50
307	-0.50
325	-0.39
345	-0.49
365	-0.59
387	-0.59
410	-0.59
434	-0.59
460	-0.58
487	-0.58
516	-0.58
546	-0.47
579	-0.27
613	-0.16
649	-0.16
688	-0.05
729	-0.15
772	-0.04
818	-0.03
866	-0.12
917	-0.11
972	-0.01
1029	-0.10
1090	-0.28
1155	-0.27
1223	-0.16
1296	-0.14
1372	-1.33
1454	-2.31
1540	-0.89
1631	0.03
1728	2.55
1830	2.98
1939	2.21
2054	0.44
2175	-0.12
2304	0.61
2441	1.05
2585	1.70
2738	1.96
2901	2.02
3073	1.08
3255	-0.85
3447	-2.18
3652	-2.49
3868	-1.59
4097	-1.78
4340	-2.46
4597	-3.54
4870	-4.40
5158	-4.05
5464	-3.78
5788	-3.61
6131	-1.32
6494	-1.01
6879	-1.68
7286	-4.61
7718	-7.89
8175	-10.33
8660	-9.15
9173	-9.43
9716	-8.73
10292	-5.19
10902	-6.72
11548	-13.36
12232	-12.50
12957	-16.13
13725	-22.88
14538	-14.73
15399	-16.48
16312	-21.45
17278	-19.51
18302	-15.75
19387	-14.66
